customer_id,name,email,region,join_date
CUST0001,Customer_1,cust1@freshmart.com,East,2023-05-17
CUST0002,Customer_2,cust2@freshmart.com,West,2022-05-25
CUST0003,Customer_3,cust3@freshmart.com,North,2022-07-20
CUST0004,Customer_4,cust4@freshmart.com,East,2023-12-25
CUST0005,Customer_5,cust5@freshmart.com,East,2023-04-06
CUST0006,Customer_6,cust6@freshmart.com,West,2024-01-02
CUST0007,Customer_7,cust7@freshmart.com,North,2024-01-22
CUST0008,Customer_8,cust8@freshmart.com,North,2024-06-27
CUST0009,Customer_9,cust9@freshmart.com,East,2023-07-12
CUST0010,Customer_10,cust10@freshmart.com,South,2023-07-01
CUST0011,Customer_11,cust11@freshmart.com,East,2022-09-10
CUST0012,Customer_12,cust12@freshmart.com,East,2023-01-25
CUST0013,Customer_13,cust13@freshmart.com,East,2023-08-17
CUST0014,Customer_14,cust14@freshmart.com,East,2024-06-01
CUST0015,Customer_15,cust15@freshmart.com,West,2022-09-13
CUST0016,Customer_16,cust16@freshmart.com,North,2023-12-10
CUST0017,Customer_17,cust17@freshmart.com,West,2024-03-25
CUST0018,Customer_18,cust18@freshmart.com,West,2023-03-26
CUST0019,Customer_19,cust19@freshmart.com,West,2022-01-10
CUST0020,Customer_20,cust20@freshmart.com,East,2024-04-03
CUST0021,Customer_21,cust21@freshmart.com,South,2024-03-08
CUST0022,Customer_22,cust22@freshmart.com,North,2022-08-30
CUST0023,Customer_23,cust23@freshmart.com,South,2022-09-08
CUST0024,Customer_24,cust24@freshmart.com,West,2024-05-26
CUST0025,Customer_25,cust25@freshmart.com,West,2022-01-05
CUST0026,Customer_26,cust26@freshmart.com,South,2022-04-29
CUST0027,Customer_27,cust27@freshmart.com,South,2024-03-11
CUST0028,Customer_28,cust28@freshmart.com,South,2023-01-09
CUST0029,Customer_29,cust29@freshmart.com,West,2022-03-06
CUST0030,Customer_30,cust30@freshmart.com,West,2022-05-26
CUST0031,Customer_31,cust31@freshmart.com,North,2022-08-12
CUST0032,Customer_32,cust32@freshmart.com,North,2022-08-27
CUST0033,Customer_33,cust33@freshmart.com,West,2022-06-26
CUST0034,Customer_34,cust34@freshmart.com,South,2024-02-18
CUST0035,Customer_35,cust35@freshmart.com,South,2024-05-02
CUST0036,Customer_36,cust36@freshmart.com,North,2022-10-09
CUST0037,Customer_37,cust37@freshmart.com,West,2022-03-04
CUST0038,Customer_38,cust38@freshmart.com,North,2022-08-05
CUST0039,Customer_39,cust39@freshmart.com,North,2024-05-03
CUST0040,Customer_40,cust40@freshmart.com,East,2024-04-06
CUST0041,Customer_41,cust41@freshmart.com,East,2024-03-05
CUST0042,Customer_42,cust42@freshmart.com,East,2023-11-20
CUST0043,Customer_43,cust43@freshmart.com,South,2023-04-06
CUST0044,Customer_44,cust44@freshmart.com,West,2023-09-02
CUST0045,Customer_45,cust45@freshmart.com,West,2022-04-15
CUST0046,Customer_46,cust46@freshmart.com,West,2022-04-09
CUST0047,Customer_47,cust47@freshmart.com,West,2023-05-26
CUST0048,Customer_48,cust48@freshmart.com,East,2023-01-20
CUST0049,Customer_49,cust49@freshmart.com,South,2023-02-09
CUST0050,Customer_50,cust50@freshmart.com,South,2024-04-02
CUST0051,Customer_51,cust51@freshmart.com,East,2023-06-02
CUST0052,Customer_52,cust52@freshmart.com,South,2023-04-21
CUST0053,Customer_53,cust53@freshmart.com,East,2023-12-10
CUST0054,Customer_54,cust54@freshmart.com,West,2024-05-12
CUST0055,Customer_55,cust55@freshmart.com,East,2023-10-07
CUST0056,Customer_56,cust56@freshmart.com,West,2024-05-19
CUST0057,Customer_57,cust57@freshmart.com,West,2024-02-10
CUST0058,Customer_58,cust58@freshmart.com,North,2023-03-13
CUST0059,Customer_59,cust59@freshmart.com,East,2022-01-23
CUST0060,Customer_60,cust60@freshmart.com,North,2023-07-19
CUST0061,Customer_61,cust61@freshmart.com,East,2023-11-08
CUST0062,Customer_62,cust62@freshmart.com,East,2023-12-15
CUST0063,Customer_63,cust63@freshmart.com,North,2023-04-03
CUST0064,Customer_64,cust64@freshmart.com,North,2022-03-24
CUST0065,Customer_65,cust65@freshmart.com,East,2022-05-25
CUST0066,Customer_66,cust66@freshmart.com,South,2022-03-26
CUST0067,Customer_67,cust67@freshmart.com,West,2022-03-19
CUST0068,Customer_68,cust68@freshmart.com,North,2023-04-02
CUST0069,Customer_69,cust69@freshmart.com,West,2024-05-27
CUST0070,Customer_70,cust70@freshmart.com,South,2022-01-01
CUST0071,Customer_71,cust71@freshmart.com,South,2022-02-20
